Date,Company,Open,High,Low,Close,Volume
2023-12-11 00:00:00-05:00,SPDR Bloomberg 1-3 Month T-Bill ETF,87.03219604492188,87.03219604492188,87.0226874938322,87.03219604492188,5613500
2023-12-12 00:00:00-05:00,SPDR Bloomberg 1-3 Month T-Bill ETF,87.04169734311218,87.04169734311218,87.03219604492188,87.03219604492188,7885900
2023-12-13 00:00:00-05:00,SPDR Bloomberg 1-3 Month T-Bill ETF,87.04168701171875,87.05119556167982,87.04168701171875,87.04168701171875,6781800
2023-12-14 00:00:00-05:00,SPDR Bloomberg 1-3 Month T-Bill ETF,87.07969665527344,87.08920520334509,87.07969665527344,87.07969665527344,13475400
2023-12-15 00:00:00-05:00,SPDR Bloomberg 1-3 Month T-Bill ETF,87.09873692251263,87.10823822021484,87.09873692251263,87.10823822021484,6902400
2023-12-18 00:00:00-05:00,SPDR Bloomberg 1-3 Month T-Bill ETF,87.11873626708984,87.11873626708984,87.10918382840634,87.11873626708984,8910900
2023-12-19 00:00:00-05:00,SPDR Bloomberg 1-3 Month T-Bill ETF,87.12828870577334,87.13783385808104,87.11873626708984,87.11873626708984,6977300
2023-12-20 00:00:00-05:00,SPDR Bloomberg 1-3 Month T-Bill ETF,87.13784790039062,87.1474003406135,87.13784790039062,87.13784790039062,8098700
2023-12-21 00:00:00-05:00,SPDR Bloomberg 1-3 Month T-Bill ETF,87.1855922142589,87.19514465332031,87.1855922142589,87.19514465332031,5055200
2023-12-22 00:00:00-05:00,SPDR Bloomberg 1-3 Month T-Bill ETF,87.19514387327898,87.2046890258789,87.19514387327898,87.2046890258789,7443300
2023-12-26 00:00:00-05:00,SPDR Bloomberg 1-3 Month T-Bill ETF,87.22379302978516,87.22379302978516,87.21424059090492,87.22379302978516,4638800
2023-12-27 00:00:00-05:00,SPDR Bloomberg 1-3 Month T-Bill ETF,87.22379302978516,87.23333818228942,87.22379302978516,87.22379302978516,4717700
2023-12-28 00:00:00-05:00,SPDR Bloomberg 1-3 Month T-Bill ETF,87.27154497275616,87.28109741210938,87.27154497275616,87.28109741210938,5605100
